image_id,true_count,fixedN_count,naive_evidence_accumulation_count,edge_density_count,naive_gaussian_count
000000121718.jpg,8,20,2,2,17
000000398053.jpg,11,20,2,2,10
000000303703.jpg,2,20,2,2,14
000000460809.jpg,4,20,2,2,7
000000092840.jpg,6,20,2,2,14
000000530019.jpg,5,20,2,2,12
000000534914.jpg,10,20,2,2,4
000000384661.jpg,3,20,2,2,13
000000358252.jpg,4,20,2,2,8
000000285998.jpg,5,20,3,2,12
000000311337.jpg,12,20,2,2,15
000000148239.jpg,9,20,2,2,2
000000512088.jpg,8,20,2,2,4
000000198436.jpg,6,20,3,2,11
000000246245.jpg,14,20,2,2,3
000000095258.jpg,8,20,2,2,9
000000463739.jpg,16,20,2,2,11
000000076100.jpg,8,20,2,2,9
000000504013.jpg,2,20,2,2,3
000000309022.jpg,8,20,2,2,3
000000466132.jpg,9,20,2,2,11
000000435218.jpg,7,20,2,2,14
000000445338.jpg,4,20,2,2,19
000000220704.jpg,11,20,2,2,11
000000493197.jpg,23,20,2,2,9
000000255770.jpg,8,20,3,2,8
000000563098.jpg,17,20,2,2,19
000000086234.jpg,13,20,2,2,4
000000226984.jpg,22,20,2,2,12
000000287804.jpg,6,20,2,2,3
000000549459.jpg,5,20,2,2,12
000000561128.jpg,12,20,2,2,7
000000283863.jpg,5,20,3,2,12
000000527578.jpg,11,20,2,2,14
000000433900.jpg,11,20,2,2,6
000000302789.jpg,5,20,2,2,13
000000199539.jpg,5,20,2,2,15
000000257923.jpg,5,20,2,2,15
000000181885.jpg,11,20,3,2,1
000000245857.jpg,5,20,2,2,1
000000124236.jpg,9,20,2,2,8
000000562123.jpg,3,20,2,2,10
000000007202.jpg,4,20,2,2,11
000000055544.jpg,3,20,2,2,13
000000566146.jpg,4,20,2,2,12
000000514881.jpg,12,20,2,2,11
000000349263.jpg,8,20,2,2,7
000000230617.jpg,10,20,2,2,10
000000068162.jpg,9,20,2,2,4
000000437849.jpg,7,20,2,2,11
000000156073.jpg,11,20,2,2,6
000000436564.jpg,10,20,2,2,8
000000539535.jpg,8,20,2,2,7
000000529087.jpg,4,20,3,2,15
000000264733.jpg,18,20,3,2,1
000000569716.jpg,5,20,2,2,16
000000083878.jpg,7,20,2,2,9
000000475316.jpg,16,20,2,2,24
000000099968.jpg,29,20,2,2,8
000000087217.jpg,3,20,3,2,11
000000257071.jpg,5,20,2,2,10
000000480572.jpg,4,20,2,2,5
000000507812.jpg,6,20,2,2,20
000000321522.jpg,6,20,2,2,11
000000333683.jpg,4,20,3,2,5
000000479936.jpg,7,20,2,2,11
000000511693.jpg,3,20,3,2,13
000000200857.jpg,15,20,2,2,3
000000126182.jpg,6,20,2,2,9
000000344765.jpg,13,20,2,2,10
000000349719.jpg,8,20,2,2,4
000000350506.jpg,4,20,2,2,8
000000325833.jpg,14,20,2,2,6
000000505827.jpg,3,20,2,2,14
000000165100.jpg,6,20,2,2,13
000000488928.jpg,8,20,2,2,8
000000366116.jpg,4,20,2,2,1
000000333088.jpg,7,20,2,2,1
000000576994.jpg,4,20,2,2,7
000000256189.jpg,13,20,3,2,1
000000228669.jpg,6,20,3,2,15
000000115156.jpg,3,20,3,2,7
000000398962.jpg,12,20,2,2,20
000000528550.jpg,7,20,2,2,6
000000360798.jpg,7,20,2,2,10
000000332020.jpg,6,20,2,2,5
000000280490.jpg,8,20,2,2,12
000000181849.jpg,6,20,3,2,17
000000497562.jpg,12,20,2,2,16
000000217071.jpg,4,20,2,2,11
000000247121.jpg,4,20,3,2,18
000000445592.jpg,2,20,2,2,1
000000031812.jpg,3,20,2,2,3
000000345867.jpg,6,20,2,2,9
000000084701.jpg,19,20,2,2,18
000000351972.jpg,10,20,2,2,18
000000537648.jpg,25,20,2,2,5
000000332782.jpg,4,20,3,2,10
000000309714.jpg,6,20,2,2,1
000000039726.jpg,4,20,3,2,10
000000189998.jpg,18,20,3,2,9
000000096884.jpg,7,20,3,2,4
000000282691.jpg,6,20,2,2,12
000000468276.jpg,10,20,2,2,7
000000497856.jpg,5,20,2,2,13
000000362676.jpg,3,20,2,2,12
000000315428.jpg,3,20,2,2,9
000000426911.jpg,8,20,2,2,1
000000208121.jpg,5,20,2,2,1
000000543838.jpg,4,20,2,2,7
000000021872.jpg,14,20,3,2,9
000000108212.jpg,5,20,2,2,2
000000309163.jpg,5,20,2,2,6
000000460991.jpg,9,20,2,2,4
000000508634.jpg,9,20,2,2,10
000000024672.jpg,13,20,2,2,13
000000421714.jpg,5,20,2,2,14
000000498622.jpg,7,20,2,2,16
000000044596.jpg,8,20,3,2,12
000000580051.jpg,7,20,2,2,7
000000395405.jpg,4,20,2,2,9
000000453972.jpg,15,20,2,2,5
000000342417.jpg,7,20,2,2,7
000000314447.jpg,7,20,2,2,11
000000431503.jpg,9,20,3,2,4
000000237315.jpg,12,20,3,2,10
000000067565.jpg,12,20,2,2,13
000000050134.jpg,6,20,2,2,1
000000222080.jpg,3,20,2,2,7
000000271960.jpg,9,20,2,2,4
000000138116.jpg,9,20,3,2,14
000000324381.jpg,23,20,2,2,8
000000242992.jpg,5,20,2,2,13
000000233428.jpg,5,20,2,2,1
000000107735.jpg,9,20,2,2,8
000000183435.jpg,5,20,2,2,7
000000394133.jpg,10,20,3,3,3
000000459050.jpg,25,20,2,2,17
000000077402.jpg,6,20,2,2,11
000000462549.jpg,9,20,2,2,11
000000457892.jpg,10,20,2,2,10
000000316882.jpg,5,20,2,2,6
000000157480.jpg,4,20,2,2,11
000000238772.jpg,34,20,2,2,9
000000282603.jpg,3,20,2,2,8
000000576877.jpg,8,20,2,2,4
000000200952.jpg,5,20,2,2,27
000000375473.jpg,20,20,2,2,1
000000136860.jpg,16,20,2,2,15
000000530599.jpg,13,20,2,2,14
000000241675.jpg,15,20,2,2,11
000000136445.jpg,2,20,2,2,2
000000089062.jpg,3,20,2,2,1
000000344279.jpg,9,20,2,1,6
000000225693.jpg,7,20,2,2,7
000000067222.jpg,5,20,2,2,10
000000054401.jpg,3,20,2,2,4
000000197305.jpg,4,20,2,2,2
000000391486.jpg,4,20,2,2,15
000000332463.jpg,12,20,3,2,7
000000545659.jpg,4,20,2,2,11
000000441415.jpg,19,20,2,2,9
000000426869.jpg,8,20,3,2,1
000000530038.jpg,12,20,2,2,20
000000205794.jpg,7,20,2,2,7
000000346754.jpg,15,20,2,2,1
000000398772.jpg,16,20,2,2,11
000000408925.jpg,6,20,2,2,13
000000356380.jpg,3,20,2,2,1
000000351404.jpg,6,20,2,2,7
000000067046.jpg,3,20,3,2,12
000000468801.jpg,5,20,2,2,7
000000119837.jpg,5,20,2,2,2
000000373101.jpg,8,20,2,2,5
000000424560.jpg,9,20,2,2,4
000000080948.jpg,4,20,2,2,13
000000169495.jpg,8,20,2,2,19
000000037502.jpg,16,20,3,2,6
000000554252.jpg,9,20,2,2,13
000000063230.jpg,4,20,3,2,19
000000322203.jpg,13,20,2,2,13
000000137339.jpg,6,20,2,2,13
000000147635.jpg,8,20,2,2,15
000000294990.jpg,14,20,2,2,9
000000543513.jpg,9,20,2,2,11
000000100187.jpg,6,20,2,2,3
000000474383.jpg,12,20,3,2,8
